Weekly users over time
Date,Weekly users
11/15/24,1335
11/16/24,1361
11/17/24,1404
11/18/24,1413
11/19/24,1450
11/20/24,1475
11/21/24,1508
11/22/24,1531
11/23/24,1555
11/24/24,1566
11/25/24,1591
11/26/24,1624
11/27/24,1656
11/28/24,1676
11/29/24,1713
11/30/24,1738
12/1/24,1749
12/2/24,1777
12/3/24,1794
12/4/24,1836
12/5/24,1884
12/6/24,1902
12/7/24,1917
12/8/24,1948
12/9/24,1998
12/10/24,2007
12/11/24,2030
12/12/24,2053
12/13/24,2061
12/14/24,2084
12/15/24,2114
12/16/24,2136
12/17/24,2146
12/18/24,2168
12/19/24,2183
12/20/24,2215
12/21/24,2226
12/22/24,2255
12/23/24,2279
12/24/24,2290
12/25/24,2303
12/26/24,2299
12/27/24,2314
12/28/24,2332
12/29/24,2339
12/30/24,2373
12/31/24,2388
1/1/25,2394
1/2/25,2411
1/3/25,2442
1/4/25,2499
1/5/25,2538
1/6/25,2605
1/7/25,2641
1/8/25,2665
1/9/25,2721
1/10/25,2741
1/11/25,2765
1/12/25,2779
1/13/25,2820
1/14/25,2824
1/15/25,2827
1/16/25,2870
1/17/25,2901
1/18/25,2934
1/19/25,2956
1/20/25,2970
1/21/25,2984
1/22/25,3010
1/23/25,3030
1/24/25,3028
1/25/25,3059
1/26/25,3070
1/27/25,3098
1/28/25,3121
1/29/25,3128
1/30/25,3132
1/31/25,3137
2/1/25,3152
2/2/25,3187
2/3/25,3245
2/4/25,3291
2/5/25,3328
2/6/25,3346
2/7/25,3396
2/8/25,3418
2/9/25,3418
2/10/25,3439
2/11/25,3475
2/12/25,3486
2/13/25,3498
2/14/25,3496
2/15/25,3491
2/16/25,3480
2/17/25,3485
2/18/25,3493
2/19/25,3495
2/20/25,3506
2/21/25,3523
2/22/25,3540
2/23/25,3573
2/24/25,3608
2/25/25,3622
2/26/25,3631
2/27/25,3654
2/28/25,3656
3/1/25,3668
3/2/25,3673
3/3/25,3697
3/4/25,3703
3/5/25,3725
3/6/25,3705
3/7/25,3711
3/8/25,3723
3/9/25,3723
3/10/25,3757
3/11/25,3776
3/12/25,3817
3/13/25,3830
3/14/25,3842
3/15/25,3872
3/16/25,3896
3/17/25,3914
3/18/25,3919
3/19/25,3936
3/20/25,3955
3/21/25,3951
3/22/25,3961
3/23/25,3967
3/24/25,3997
3/25/25,4000
3/26/25,4000
3/27/25,3993
3/28/25,3981
3/29/25,4008
3/30/25,4039
3/31/25,4028
4/1/25,4034
4/2/25,4048
4/3/25,4061
4/4/25,4055
4/5/25,4066
4/6/25,4105
4/7/25,4120
4/8/25,4124
4/9/25,4132
4/10/25,4149
4/11/25,4183
4/12/25,4212
4/13/25,4218
4/14/25,4242
4/15/25,4246
4/16/25,4238
4/17/25,4237
4/18/25,4232
4/19/25,4254
4/20/25,4245
4/21/25,4249
4/22/25,4252
4/23/25,4279
4/24/25,4285
4/25/25,4298
4/26/25,4307
4/27/25,4335
4/28/25,4348
4/29/25,4380
4/30/25,4380
5/1/25,4377
5/2/25,4372
5/3/25,4378
5/4/25,4385
5/5/25,4398
5/6/25,4411
5/7/25,4418
5/8/25,4418
5/9/25,4424
5/10/25,4445
5/11/25,4467
5/12/25,4485
5/13/25,4505
